Date,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),sum of frequencies of letters in word,Number of repetitive letter,word possibility
2/18/2022,dodge,265238.0,10220.0,1.0,3.0,15.0,29.0,27.0,19.0,7.0,479,2.0,1.9574398148148153e-07
2/19/2022,swill,282327.0,11241.0,1.0,1.0,8.0,19.0,31.0,30.0,10.0,445,2.0,1.8051557181324007e-07
2/20/2022,tacit,273306.0,11094.0,1.0,4.0,21.0,32.0,26.0,14.0,3.0,593,2.0,1.0399605782909085e-06
2/21/2022,other,278731.0,10887.0,1.0,9.0,26.0,30.0,21.0,10.0,2.0,655,1.0,1.6169845964791976e-06
2/22/2022,thorn,306356.0,11814.0,1.0,14.0,38.0,30.0,12.0,4.0,0.0,556,1.0,7.609339277549157e-07
2/23/2022,trove,277576.0,11411.0,1.0,5.0,16.0,24.0,25.0,22.0,8.0,610,1.0,5.774944987425708e-07
2/24/2022,bloke,250674.0,10405.0,1.0,6.0,21.0,32.0,25.0,12.0,2.0,498,1.0,1.599478780334972e-07
2/25/2022,vivid,255907.0,11687.0,1.0,2.0,10.0,29.0,33.0,21.0,4.0,310,3.0,1.894897405121172e-08
2/26/2022,spill,248363.0,10087.0,1.0,5.0,26.0,34.0,22.0,10.0,2.0,479,2.0,3.8509988653491177e-07
2/27/2022,chant,250413.0,10438.0,1.0,9.0,33.0,33.0,16.0,7.0,1.0,518,1.0,4.784284661890967e-07
2/28/2022,choke,251094.0,10521.0,1.0,8.0,30.0,36.0,18.0,6.0,1.0,496,1.0,2.289576479914982e-07
3/1/2022,rupee,240137.0,10577.0,1.0,2.0,17.0,35.0,30.0,13.0,2.0,637,2.0,1.0233269318701463e-06
3/2/2022,nasty,257304.0,10813.0,1.0,7.0,26.0,31.0,21.0,11.0,2.0,526,1.0,5.167412487933751e-07
3/3/2022,mourn,240018.0,10465.0,1.0,8.0,29.0,34.0,19.0,8.0,1.0,475,1.0,2.94339277549155e-07
3/4/2022,ahead,203730.0,9396.0,1.0,5.0,20.0,35.0,26.0,12.0,2.0,629,2.0,9.45725565843622e-07
3/5/2022,brine,229895.0,10405.0,1.0,9.0,25.0,29.0,22.0,12.0,3.0,544,1.0,3.754001486053954e-07
3/6/2022,cloth,218595.0,9911.0,1.0,8.0,33.0,34.0,17.0,7.0,1.0,516,1.0,5.093389388473973e-07
3/7/2022,hoard,218595.0,9823.0,1.0,9.0,30.0,34.0,19.0,7.0,1.0,551,1.0,5.710995370370371e-07
3/8/2022,sweet,207473.0,9767.0,1.0,5.0,18.0,31.0,28.0,15.0,2.0,622,2.0,6.351378092770436e-07
3/9/2022,month,201799.0,9435.0,1.0,5.0,26.0,37.0,22.0,8.0,1.0,476,1.0,3.1001011871496623e-07
3/10/2022,lapse,208884.0,9960.0,0.0,8.0,31.0,34.0,19.0,7.0,1.0,610,1.0,9.925602398008452e-07
3/11/2022,watch,226349.0,12400.0,1.0,6.0,14.0,18.0,17.0,24.0,20.0,460,1.0,1.6310061347355598e-07
3/12/2022,today,192049.0,9353.0,1.0,7.0,29.0,35.0,20.0,7.0,1.0,537,1.0,4.792401406035665e-07
3/13/2022,focus,179436.0,8937.0,1.0,4.0,23.0,36.0,24.0,10.0,1.0,389,1.0,9.288039424884406e-08
3/14/2022,smelt,185406.0,9373.0,0.0,5.0,19.0,33.0,28.0,13.0,2.0,572,1.0,6.974062219512624e-07
3/15/2022,tease,202855.0,10024.0,1.0,16.0,32.0,30.0,16.0,6.0,1.0,751,2.0,3.366230389168324e-06
3/16/2022,cater,217856.0,11234.0,1.0,7.0,19.0,22.0,19.0,18.0,15.0,682,1.0,1.9607023748285313e-06
3/17/2022,movie,169071.0,8847.0,1.0,5.0,18.0,30.0,26.0,16.0,3.0,503,1.0,1.8641061740037998e-07
3/18/2022,saute,179830.0,9304.0,1.0,8.0,31.0,34.0,19.0,6.0,1.0,628,1.0,1.1520788497688384e-06
3/19/2022,allow,156311.0,8515.0,0.0,5.0,21.0,32.0,26.0,14.0,3.0,546,2.0,4.211565310166138e-07
3/20/2022,renew,154987.0,8417.0,0.0,4.0,20.0,33.0,27.0,13.0,2.0,627,2.0,6.595661865569303e-07
3/21/2022,their,173636.0,9200.0,2.0,14.0,36.0,30.0,13.0,4.0,0.0,625,1.0,1.2522512288523101e-06
3/22/2022,slosh,160161.0,8807.0,0.0,2.0,19.0,36.0,27.0,13.0,2.0,491,2.0,4.2733702518247585e-07
3/23/2022,purge,156785.0,8555.0,1.0,4.0,22.0,35.0,26.0,11.0,2.0,501,1.0,2.7908916323731203e-07
3/24/2022,chest,169066.0,9318.0,1.0,14.0,35.0,31.0,14.0,5.0,1.0,546,1.0,5.626800199834037e-07
3/25/2022,depot,150197.0,8562.0,0.0,5.0,29.0,36.0,20.0,7.0,1.0,568,1.0,5.913543667123926e-07
3/26/2022,epoxy,149507.0,9376.0,0.0,2.0,13.0,31.0,33.0,18.0,3.0,452,1.0,3.596984538264842e-08
3/27/2022,nymph,165468.0,9935.0,1.0,2.0,18.0,44.0,26.0,26.0,9.0,338,1.0,6.999881454385367e-08
3/28/2022,found,173696.0,10613.0,1.0,6.0,17.0,22.0,20.0,21.0,14.0,372,1.0,7.064142661179697e-08
3/29/2022,shall,149070.0,8494.0,0.0,3.0,17.0,30.0,28.0,17.0,4.0,541,2.0,6.502065742010871e-07
3/30/2022,stove,158139.0,9318.0,0.0,5.0,16.0,24.0,27.0,21.0,6.0,563,1.0,3.7644085843960183e-07
3/31/2022,lowly,135219.0,8469.0,0.0,2.0,9.0,26.0,32.0,24.0,8.0,448,2.0,1.6157577605039912e-07
4/1/2022,snout,144648.0,8913.0,1.0,4.0,19.0,27.0,26.0,18.0,5.0,503,1.0,4.5350051652017886e-07
4/2/2022,trope,155079.0,9315.0,1.0,16.0,33.0,28.0,15.0,6.0,1.0,649,1.0,1.4783859167809818e-06
4/3/2022,fewer,124532.0,7931.0,0.0,2.0,10.0,24.0,32.0,26.0,6.0,572,2.0,2.473373199588483e-07
4/4/2022,shawl,129651.0,7943.0,0.0,3.0,16.0,31.0,30.0,16.0,3.0,459,1.0,1.7416247523243444e-07
4/5/2022,natal,121356.0,7702.0,0.0,2.0,14.0,32.0,32.0,17.0,3.0,648,2.0,1.7142563633592422e-06
4/6/2022,comma,117856.0,7560.0,0.0,2.0,13.0,33.0,33.0,17.0,3.0,473,2.0,2.4036430152288816e-07
4/7/2022,foray,117761.0,7575.0,0.0,2.0,14.0,31.0,31.0,19.0,4.0,521,1.0,3.041331661522629e-07
4/8/2022,scare,141158.0,9010.0,1.0,12.0,23.0,26.0,21.0,13.0,4.0,640,1.0,1.327244684499314e-06
4/9/2022,stair,134210.0,8537.0,2.0,21.0,36.0,26.0,11.0,4.0,1.0,615,1.0,1.3385408093278453e-06
4/10/2022,black,126241.0,7894.0,1.0,10.0,31.0,34.0,18.0,6.0,1.0,408,1.0,7.260068333079268e-08
4/11/2022,squad,109828.0,7236.0,0.0,3.0,20.0,33.0,27.0,14.0,2.0,370,1.0,1.2795610425240079e-08
4/12/2022,royal,114907.0,7275.0,1.0,5.0,24.0,36.0,23.0,9.0,1.0,600,1.0,1.0322095336076818e-06
4/13/2022,chunk,123255.0,7835.0,1.0,4.0,29.0,42.0,18.0,5.0,1.0,328,1.0,5.184711002726541e-08
4/14/2022,mince,113448.0,7356.0,0.0,6.0,24.0,35.0,24.0,10.0,1.0,504,1.0,3.502837706819764e-07
4/15/2022,shame,129991.0,8522.0,1.0,11.0,22.0,25.0,21.0,15.0,5.0,559,1.0,5.331134100492827e-07
4/16/2022,cheek,107987.0,7035.0,0.0,3.0,19.0,40.0,28.0,9.0,1.0,550,2.0,3.21917896048197e-07
4/17/2022,ample,106681.0,7008.0,0.0,4.0,20.0,35.0,27.0,11.0,2.0,577,1.0,6.20350149875529e-07
4/18/2022,flair,112383.0,7341.0,1.0,8.0,30.0,36.0,18.0,6.0,1.0,542,1.0,4.3245164609053366e-07
4/19/2022,foyer,108899.0,8198.0,0.0,2.0,10.0,19.0,19.0,23.0,26.0,549,1.0,3.5769120799039773e-07
4/20/2022,cargo,102007.0,6796.0,0.0,5.0,20.0,34.0,27.0,12.0,2.0,549,1.0,5.470770961934143e-07
4/21/2022,oxide,97955.0,6960.0,0.0,2.0,11.0,30.0,33.0,21.0,4.0,484,1.0,5.124597336534072e-08
4/22/2022,plant,119232.0,7731.0,2.0,19.0,39.0,28.0,10.0,3.0,0.0,553,1.0,6.90015139968501e-07
4/23/2022,olive,95562.0,6482.0,1.0,6.0,25.0,34.0,23.0,10.0,1.0,560,1.0,3.795998027062276e-07
4/24/2022,inert,97452.0,6743.0,0.0,7.0,27.0,34.0,22.0,9.0,1.0,643,1.0,1.5742586877000465e-06
4/25/2022,askew,91548.0,6549.0,0.0,3.0,13.0,29.0,32.0,19.0,4.0,499,1.0,1.4539456637707678e-07
4/26/2022,heist,103153.0,6830.0,1.0,13.0,32.0,31.0,16.0,6.0,1.0,578,1.0,8.162822825111357e-07
4/27/2022,shown,98967.0,6564.0,0.0,6.0,26.0,36.0,22.0,8.0,1.0,409,1.0,1.1446527460244915e-07
4/28/2022,zesty,88974.0,6315.0,0.0,2.0,12.0,27.0,30.0,22.0,7.0,471,1.0,3.453066521024919e-08
4/29/2022,trash,106652.0,7001.0,2.0,19.0,34.0,27.0,13.0,4.0,1.0,582,1.0,9.0968792866941e-07
4/30/2022,larva,77991.0,5749.0,0.0,2.0,10.0,25.0,35.0,23.0,4.0,590,2.0,5.057355967078188e-07
5/1/2022,forgo,77658.0,5699.0,0.0,1.0,9.0,26.0,37.0,23.0,3.0,485,2.0,2.1269566615226287e-07
5/2/2022,story,95643.0,6530.0,1.0,10.0,23.0,29.0,24.0,11.0,2.0,547,1.0,6.630995656149981e-07
5/3/2022,hairy,85817.0,5941.0,1.0,8.0,24.0,33.0,23.0,10.0,1.0,528,1.0,4.996126971879286e-07
5/4/2022,train,107750.0,7243.0,6.0,26.0,32.0,22.0,10.0,3.0,0.0,615,1.0,1.3385408093278455e-06
5/5/2022,homer,85979.0,6313.0,0.0,3.0,16.0,26.0,24.0,19.0,12.0,580,1.0,6.841088677412e-07
5/6/2022,badge,76292.0,5482.0,0.0,4.0,20.0,35.0,26.0,12.0,2.0,482,1.0,1.3433891460905327e-07
5/7/2022,midst,74458.0,5233.0,0.0,3.0,25.0,39.0,24.0,9.0,1.0,430,1.0,1.8520690443529965e-07
5/8/2022,canny,72518.0,5256.0,0.0,2.0,10.0,30.0,34.0,20.0,4.0,467,2.0,2.8222022049484305e-07
5/9/2022,shine,88932.0,6146.0,1.0,14.0,32.0,30.0,17.0,6.0,1.0,536,1.0,5.525603143152307e-07
5/10/2022,gecko,74412.0,5489.0,0.0,2.0,16.0,38.0,29.0,12.0,2.0,477,1.0,1.6681200067951987e-07
5/11/2022,farce,79446.0,5688.0,0.0,9.0,26.0,32.0,21.0,9.0,1.0,585,1.0,4.977167566872417e-07
5/12/2022,slung,75673.0,5419.0,0.0,2.0,16.0,37.0,31.0,13.0,2.0,403,1.0,1.4982041355484432e-07
5/13/2022,tipsy,77585.0,5522.0,0.0,6.0,33.0,38.0,17.0,5.0,1.0,446,1.0,2.4345042253044106e-07
5/14/2022,metal,73225.0,5290.0,1.0,10.0,31.0,34.0,18.0,7.0,1.0,643,1.0,1.2600862419346665e-06
5/15/2022,yield,67115.0,4963.0,0.0,4.0,16.0,29.0,29.0,18.0,4.0,517,1.0,3.7606067672610905e-07
5/16/2022,delve,68349.0,5179.0,0.0,2.0,14.0,32.0,33.0,16.0,2.0,565,2.0,2.798159579332426e-07
5/17/2022,being,70722.0,5142.0,0.0,4.0,22.0,37.0,26.0,10.0,1.0,460,1.0,1.4181783391759366e-07
5/18/2022,scour,73933.0,5544.0,0.0,8.0,34.0,35.0,17.0,5.0,1.0,491,1.0,3.7996524919981725e-07
5/19/2022,glass,70920.0,5162.0,0.0,4.0,19.0,33.0,27.0,14.0,3.0,498,2.0,3.7221008992531576e-07
5/20/2022,gamer,69884.0,5238.0,1.0,4.0,17.0,28.0,26.0,18.0,6.0,587,1.0,5.9585808899177e-07
5/21/2022,scrap,66814.0,4973.0,1.0,9.0,28.0,34.0,20.0,8.0,1.0,517,1.0,4.542441700960219e-07
5/22/2022,money,67909.0,4928.0,1.0,7.0,26.0,36.0,21.0,8.0,1.0,524,1.0,3.886027938661125e-07
5/23/2022,hinge,66431.0,4906.0,0.0,5.0,25.0,37.0,22.0,9.0,2.0,499,1.0,3.202338185235991e-07
5/24/2022,album,63380.0,4809.0,0.0,5.0,26.0,35.0,24.0,9.0,1.0,421,1.0,1.0283879489915162e-07
5/25/2022,vouch,62723.0,4835.0,0.0,2.0,9.0,25.0,33.0,24.0,6.0,363,1.0,5.5971311961252596e-08
5/26/2022,asset,63188.0,4733.0,0.0,7.0,28.0,34.0,21.0,8.0,1.0,652,2.0,1.5841084184321512e-06
5/27/2022,tiara,63846.0,4842.0,0.0,8.0,36.0,33.0,17.0,6.0,1.0,686,2.0,2.4184998713991735e-06
5/28/2022,crept,60069.0,4562.0,0.0,4.0,27.0,38.0,22.0,7.0,1.0,587,1.0,7.892135345221771e-07
5/29/2022,bayou,56839.0,4435.0,0.0,6.0,17.0,33.0,29.0,13.0,2.0,448,1.0,1.3544336737285987e-07
5/30/2022,atoll,60969.0,4741.0,0.0,6.0,28.0,36.0,21.0,8.0,1.0,646,2.0,1.8250116344053224e-06
5/31/2022,manor,62768.0,4802.0,0.0,6.0,27.0,34.0,21.0,10.0,2.0,570,1.0,7.312491426611808e-07
6/1/2022,creak,63241.0,4797.0,0.0,5.0,21.0,32.0,25.0,14.0,3.0,587,1.0,5.278814086076803e-07
6/2/2022,showy,61278.0,4770.0,0.0,2.0,16.0,37.0,30.0,13.0,2.0,382,1.0,7.934524716760681e-08
6/3/2022,peach,65431.0,4957.0,1.0,13.0,38.0,32.0,13.0,3.0,0.0,551,1.0,5.0050978001321e-07
6/4/2022,froth,58263.0,4432.0,0.0,5.0,22.0,35.0,25.0,11.0,1.0,501,1.0,2.853502229080928e-07
6/5/2022,depth,56738.0,4329.0,0.0,6.0,28.0,39.0,20.0,6.0,1.0,505,1.0,3.112391403749436e-07
6/6/2022,gloom,58478.0,4548.0,0.0,2.0,14.0,35.0,35.0,13.0,1.0,484,2.0,2.9409771122288277e-07
6/7/2022,flood,58991.0,4440.0,0.0,3.0,20.0,40.0,28.0,8.0,1.0,465,2.0,1.8683854595336045e-07
6/8/2022,trait,61026.0,4607.0,0.0,6.0,22.0,35.0,24.0,11.0,2.0,657,2.0,1.9773898319615886e-06
6/9/2022,girth,60020.0,4665.0,0.0,6.0,23.0,33.0,23.0,12.0,3.0,489,1.0,3.415230624142656e-07
6/10/2022,piety,55376.0,4324.0,0.0,4.0,25.0,41.0,22.0,7.0,1.0,545,1.0,5.173321478771878e-07
6/11/2022,goose,51958.0,4087.0,0.0,2.0,12.0,28.0,32.0,21.0,5.0,592,2.0,7.856610285525585e-07
6/12/2022,float,56684.0,4323.0,1.0,12.0,30.0,32.0,18.0,6.0,1.0,567,1.0,5.377266422801389e-07
6/13/2022,donor,53802.0,4142.0,0.0,3.0,27.0,38.0,23.0,7.0,1.0,543,2.0,6.005524691358029e-07
6/14/2022,atone,59968.0,4762.0,2.0,16.0,34.0,29.0,14.0,4.0,1.0,697,1.0,2.3941638596758647e-06
6/15/2022,primo,55989.0,4391.0,0.0,3.0,22.0,38.0,25.0,10.0,2.0,490,1.0,3.4451074531321527e-07
6/16/2022,apron,53430.0,4112.0,0.0,7.0,30.0,38.0,19.0,5.0,1.0,579,1.0,8.509080932784647e-07
6/17/2022,blown,54665.0,4251.0,0.0,6.0,23.0,35.0,26.0,10.0,1.0,394,1.0,6.451679113956213e-08
6/18/2022,cacao,47205.0,4101.0,0.0,1.0,9.0,27.0,36.0,23.0,4.0,593,3.0,8.970157355014456e-07
6/19/2022,loser,55359.0,4399.0,1.0,10.0,28.0,32.0,19.0,8.0,2.0,655,1.0,1.751318701417469e-06
6/20/2022,input,50484.0,3950.0,0.0,5.0,30.0,38.0,21.0,6.0,1.0,449,1.0,2.5542339413029905e-07
6/21/2022,gloat,53342.0,4194.0,0.0,8.0,21.0,31.0,26.0,12.0,2.0,585,1.0,8.310320835238515e-07
6/22/2022,awful,47645.0,3861.0,0.0,5.0,21.0,33.0,27.0,12.0,2.0,398,1.0,5.971284865112029e-08
6/23/2022,brink,53111.0,4118.0,0.0,4.0,22.0,41.0,24.0,7.0,1.0,392,1.0,7.026205989940532e-08
6/24/2022,smite,50617.0,3991.0,0.0,6.0,23.0,35.0,24.0,11.0,2.0,563,1.0,6.413646505444644e-07
6/25/2022,beady,46089.0,3670.0,0.0,3.0,19.0,39.0,29.0,10.0,1.0,492,1.0,1.606798782578875e-07
6/26/2022,rusty,50450.0,3954.0,0.0,9.0,37.0,34.0,13.0,5.0,1.0,478,1.0,3.190855052583452e-07
6/27/2022,retro,47986.0,3848.0,0.0,6.0,24.0,35.0,24.0,9.0,1.0,720,2.0,3.1184702932098795e-06
6/28/2022,droll,47312.0,3844.0,0.0,2.0,16.0,31.0,31.0,17.0,3.0,546,2.0,6.436543209876539e-07
6/29/2022,gawky,45645.0,3957.0,0.0,1.0,5.0,22.0,33.0,28.0,10.0,336,1.0,2.7486782693186975e-08
6/30/2022,hutch,44212.0,3758.0,0.0,1.0,12.0,28.0,28.0,21.0,9.0,405,2.0,1.5318464326237537e-07
7/1/2022,pinto,47248.0,3792.0,0.0,5.0,25.0,41.0,22.0,6.0,1.0,518,1.0,5.308017409270273e-07
7/2/2022,egret,41765.0,3515.0,0.0,3.0,14.0,33.0,33.0,15.0,2.0,690,2.0,1.6564105366941029e-06
7/3/2022,lilac,40486.0,3461.0,0.0,2.0,17.0,38.0,29.0,12.0,1.0,557,2.0,7.719092008332044e-07
7/4/2022,sever,42645.0,3591.0,0.0,2.0,13.0,27.0,29.0,21.0,7.0,622,2.0,5.496384887974412e-07
7/5/2022,field,44578.0,3604.0,1.0,6.0,25.0,36.0,23.0,9.0,1.0,489,1.0,2.034426611796979e-07
7/6/2022,fluff,47344.0,4049.0,0.0,0.0,4.0,25.0,44.0,23.0,4.0,275,3.0,1.363255601280286e-08
7/7/2022,agape,43407.0,3671.0,0.0,2.0,18.0,36.0,27.0,15.0,3.0,620,2.0,8.166265203475082e-07
7/8/2022,voice,42806.0,3484.0,1.0,5.0,24.0,35.0,25.0,9.0,1.0,519,1.0,2.406391606441262e-07
7/9/2022,stead,47094.0,3933.0,1.0,6.0,20.0,27.0,28.0,16.0,3.0,618,1.0,9.72066529492456e-07
7/10/2022,berth,41785.0,3494.0,0.0,7.0,24.0,35.0,24.0,9.0,1.0,553,1.0,3.7689114654778236e-07
7/11/2022,madam,40545.0,3430.0,0.0,3.0,13.0,35.0,34.0,14.0,2.0,482,3.0,2.1855002572016509e-07
7/12/2022,night,46910.0,3870.0,1.0,8.0,27.0,27.0,17.0,13.0,7.0,442,1.0,2.2262244068485467e-07
7/13/2022,bland,46246.0,3727.0,0.0,7.0,31.0,38.0,18.0,4.0,0.0,444,1.0,1.3883237311385437e-07
7/14/2022,liver,40549.0,3388.0,0.0,4.0,16.0,26.0,25.0,20.0,8.0,562,1.0,3.853080704160955e-07
7/15/2022,wedge,39234.0,3353.0,0.0,2.0,11.0,32.0,37.0,17.0,2.0,509,2.0,1.5289943415637907e-07
7/16/2022,roomy,38769.0,3280.0,0.0,2.0,17.0,41.0,28.0,10.0,2.0,517,2.0,4.2400116455189853e-07
7/17/2022,wacky,39611.0,3345.0,0.0,3.0,18.0,39.0,27.0,10.0,2.0,356,1.0,3.826591316110344e-08
7/18/2022,flock,42574.0,3548.0,0.0,4.0,22.0,37.0,27.0,9.0,1.0,384,1.0,6.464686531524631e-08
7/19/2022,angry,39667.0,3358.0,0.0,5.0,27.0,38.0,21.0,7.0,1.0,494,1.0,3.1099331275720135e-07
7/20/2022,trite,42237.0,3685.0,0.0,4.0,14.0,22.0,22.0,23.0,15.0,685,2.0,2.3256094250114316e-06
7/21/2022,aphid,39086.0,3367.0,0.0,6.0,24.0,36.0,23.0,9.0,2.0,450,1.0,2.0967352537722927e-07
7/22/2022,tryst,43099.0,3665.0,0.0,3.0,26.0,41.0,23.0,6.0,1.0,544,2.0,6.481424325560127e-07
7/23/2022,midge,36769.0,3111.0,0.0,2.0,18.0,39.0,28.0,10.0,2.0,450,1.0,1.543984482167354e-07
7/24/2022,power,39813.0,3401.0,2.0,6.0,19.0,29.0,24.0,15.0,4.0,549,1.0,3.41165980795612e-07
7/25/2022,elope,39228.0,3339.0,0.0,4.0,22.0,32.0,26.0,13.0,2.0,683,2.0,1.7642914325390834e-06
7/26/2022,cinch,39171.0,3507.0,0.0,2.0,15.0,24.0,22.0,25.0,13.0,403,2.0,1.6926692662026417e-07
7/27/2022,motto,38384.0,3285.0,0.0,1.0,11.0,36.0,36.0,14.0,1.0,581,3.0,8.701420377567795e-07
7/28/2022,stomp,40650.0,3490.0,0.0,7.0,26.0,32.0,21.0,11.0,2.0,470,1.0,2.8343782282511215e-07
7/29/2022,upset,37791.0,3213.0,0.0,5.0,30.0,38.0,20.0,6.0,1.0,533,1.0,4.6372985147928144e-07
7/30/2022,bluff,37353.0,3171.0,0.0,2.0,14.0,42.0,31.0,10.0,1.0,273,2.0,1.2806340496875423e-08
7/31/2022,cramp,39250.0,3369.0,1.0,8.0,26.0,33.0,19.0,10.0,2.0,484,1.0,2.8390260631001403e-07
8/1/2022,quart,36662.0,3303.0,0.0,5.0,20.0,33.0,27.0,13.0,2.0,493,1.0,4.725651577503436e-08
8/2/2022,coyly,34909.0,3380.0,0.0,0.0,4.0,17.0,28.0,35.0,15.0,438,2.0,2.0826925180782046e-07
8/3/2022,youth,38381.0,3327.0,1.0,5.0,17.0,31.0,29.0,15.0,3.0,458,1.0,2.5005774864942714e-07
